152,55,4,963369546,Days of Thunder (1990),Action|Romance,1,3,5,172
0,35,5,977847255,"Silence of the Lambs, The (1991)",Drama|Thriller,1,3,7,100
118,88,5,966802528,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,1,1,16,111
105,155,5,968341175,"Longest Day, The (1962)",Action|Drama|War,1,5,12,154
126,32,2,966287116,Sliver (1993),Thriller,1,4,7,56
25,86,3,975270899,Liar Liar (1997),Comedy,1,2,0,136
149,47,5,963966553,Escape to Witch Mountain (1975),Adventure|Children's|Fantasy,1,2,4,186
86,72,5,974435324,Young Frankenstein (1974),Comedy|Horror,1,5,1,69
60,90,3,1036917836,Gattaca (1997),Drama|Sci-Fi|Thriller,0,1,4,118
49,158,4,981272057,Fatal Attraction (1987),Thriller,1,2,0,104
27,19,5,975207742,"Age of Innocence, The (1993)",Drama,0,5,0,182
168,172,5,961944604,Modern Times (1936),Comedy,1,3,1,114
189,27,4,957143581,Jurassic Park (1993),Action|Adventure|Sci-Fi,1,0,9,46
85,56,5,974259943,"Return of the Pink Panther, The (1974)",Comedy,1,3,1,50
192,168,5,956716750,Woman in the Dunes (Suna no onna) (1964),Drama,1,2,6,26
156,165,5,972240802,Titus (1999),Drama,0,5,17,14
143,101,4,965094644,"Last Emperor, The (1987)",Drama|War,1,5,0,1
28,185,4,975106398,Almost Famous (2000),Comedy|Drama,1,3,18,159
80,106,3,979353437,Dangerous Liaisons (1988),Drama|Romance,1,2,0,77
34,41,2,974878678,Larger Than Life (1996),Comedy,0,2,3,124
54,104,3,974709821,Hello Mary Lou: Prom Night II (1987),Horror,1,2,19,166
14,2,4,975812238,Twelve Monkeys (1995),Drama|Sci-Fi,1,3,19,23
181,15,4,958503395,Clear and Present Danger (1994),Action|Adventure|Thriller,1,2,0,106
166,73,4,961972292,Some Kind of Wonderful (1987),Drama|Romance,1,2,7,103
137,179,3,965411938,"Spy Who Loved Me, The (1977)",Action,1,2,18,28
1,108,3,977788576,"Parent Trap, The (1998)",Children's|Drama,1,6,1,86
13,11,4,976069421,Boys on the Side (1995),Comedy|Drama,0,2,0,68
161,68,3,962607149,Dead Poets Society (1989),Drama,0,6,2,160
39,27,4,974793389,Jurassic Park (1993),Action|Adventure|Sci-Fi,0,1,1,158
185,7,4,958108785,Blue in the Face (1995),Comedy,1,2,0,146
162,92,1,962513044,U.S. Marshalls (1998),Action|Thriller,0,3,4,174
56,99,4,974709448,Buffalo 66 (1998),Action|Comedy|Drama,1,2,19,37
159,124,4,962619587,Sid and Nancy (1986),Drama,1,3,0,155
31,76,4,974938851,When Harry Met Sally... (1989),Comedy|Romance,0,4,8,169
64,144,5,974826228,Brighton Beach Memoirs (1986),Comedy,1,2,0,19
127,153,5,966272980,Spaceballs (1987),Comedy|Sci-Fi,1,0,9,12
157,34,5,962909224,Dances with Wolves (1990),Adventure|Drama|Western,1,1,4,109
124,31,3,966363610,Serial Mom (1994),Comedy|Crime|Horror,1,3,7,16
75,131,4,975522689,"Deep End of the Ocean, The (1999)",Drama,0,3,3,187
72,70,3,974954220,"Deer Hunter, The (1978)",Drama|War,1,3,16,157
182,112,3,958434069,Indiana Jones and the Temple of Doom (1984),Action|Adventure,0,2,10,6
103,127,3,969324381,Cocoon (1985),Comedy|Sci-Fi,1,2,2,135
165,17,4,962338215,"Mask, The (1994)",Comedy|Crime|Fantasy,0,2,8,150
101,74,3,970601837,"Room with a View, A (1986)",Drama|Romance,0,2,3,92
99,183,3,972413564,F/X (1986),Action|Crime|Thriller,1,1,0,108
51,16,5,974742941,"Client, The (1994)",Drama|Mystery|Thriller,1,5,7,53
49,128,4,981272235,"Karate Kid, The (1984)",Drama,1,2,0,104
3,39,1,977028390,"Phantom, The (1996)",Adventure,1,1,1,24
170,10,2,961271616,Waterworld (1995),Action|Adventure,1,2,15,58
140,58,4,965274348,One Flew Over the Cuckoo's Nest (1975),Drama,1,2,16,185
83,139,4,1007158806,Notting Hill (1999),Comedy|Romance,1,5,13,32
4,125,3,976730191,Desperately Seeking Susan (1985),Comedy|Romance,0,1,13,83
29,150,1,975222613,Home Alone 2: Lost in New York (1992),Children's|Comedy,1,2,0,21
30,57,3,975018699,Mediterraneo (1991),Comedy|War,1,3,3,27
107,12,4,968035345,Ed Wood (1994),Comedy|Drama,0,2,4,35
131,89,3,965855033,Fire Down Below (1997),Action|Drama|Thriller,1,1,11,113
151,63,4,963508830,"Godfather: Part II, The (1974)",Action|Crime|Drama,1,2,2,176
10,173,4,976222483,High Fidelity (2000),Comedy,1,3,7,18
167,181,3,961946487,Porky's (1981),Comedy,1,1,13,20
11,170,1,976208080,Mission to Mars (2000),Sci-Fi,1,2,15,93
23,14,3,975357801,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,0,2,15,74
45,9,4,974762924,Strange Days (1995),Action|Crime|Sci-Fi,1,2,0,131
117,147,4,966906064,Fright Night (1985),Comedy|Horror,1,3,2,107
40,93,4,974833328,Love and Death on Long Island (1997),Comedy|Drama,1,3,4,179
50,135,4,974735454,Open Your Eyes (Abre los ojos) (1997),Drama|Romance|Sci-Fi,1,2,0,164
32,178,4,974920622,Shanghai Noon (2000),Action,1,1,4,132
74,48,4,1006290836,Old Yeller (1957),Children's|Drama,1,1,4,101
89,161,5,973804787,"Green Mile, The (1999)",Drama|Thriller,1,2,13,38
66,136,2,974699627,Superman III (1983),Action|Adventure|Sci-Fi,1,5,15,143
67,186,5,974753321,Meet the Parents (2000),Comedy,1,2,7,151
33,54,4,974911354,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,1,1,4,168
48,102,2,974748897,"Nightmare on Elm Street 4: The Dream Master, A (1988)",Horror,1,2,11,147
120,5,2,966658567,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,0,4,0,121
173,97,4,960503255,"Perfect Murder, A (1998)",Mystery|Thriller,1,1,11,134
119,64,3,966745594,Annie Hall (1977),Comedy|Romance,1,2,0,183
187,45,5,957782527,"Apartment, The (1960)",Comedy|Drama,1,5,19,41
141,163,5,965180829,Carnal Knowledge (1971),Drama,1,5,11,63
91,33,1,973215985,Aladdin (1992),Animation|Children's|Comedy|Musical,1,1,16,90
7,173,5,976316283,High Fidelity (2000),Comedy,1,2,2,140
52,83,4,978576948,Sneakers (1992),Crime|Drama|Sci-Fi,1,2,11,123
138,96,4,965343416,Fear and Loathing in Las Vegas (1998),Comedy|Drama,1,3,15,75
102,43,5,969738869,Matilda (1996),Children's|Comedy,0,0,1,137
171,80,4,961055887,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,1,2,11,161
130,4,2,965973222,Eye for an Eye (1996),Drama|Thriller,1,2,7,102
109,149,5,967942960,Ferris Bueller's Day Off (1986),Comedy,1,2,11,120
154,66,4,963279051,Glory (1989),Action|Drama|War,1,6,1,51
59,107,4,975729332,Dune (1984),Fantasy|Sci-Fi,1,2,3,173
38,157,5,974814536,"Grapes of Wrath, The (1940)",Drama,1,3,2,36
123,169,3,966536874,Patriot Games (1992),Action|Thriller,1,1,4,118
176,117,4,959787754,Beetlejuice (1988),Comedy|Fantasy,1,4,1,145
87,119,4,974055724,"Butcher's Wife, The (1991)",Comedy|Romance,0,2,3,87
128,115,5,966094413,"Gods Must Be Crazy II, The (1989)",Comedy,1,3,6,91
111,69,5,967433929,Chinatown (1974),Film-Noir|Mystery|Thriller,1,3,19,59
172,34,4,960596927,Dances with Wolves (1990),Adventure|Drama|Western,1,6,0,119
186,129,1,957898337,Armed and Dangerous (1986),Comedy|Crime,1,2,1,142
8,75,3,977501743,Field of Dreams (1989),Drama,0,3,0,97
183,66,4,958354460,Glory (1989),Action|Drama|War,1,1,14,153
35,98,2,1004486985,Six Days Seven Nights (1998),Adventure|Comedy|Romance,0,2,18,128
116,133,3,986327282,True Crime (1999),Crime|Thriller,0,4,7,57
134,30,5,966223349,Searching for Bobby Fischer (1993),Drama,1,2,16,84
125,132,1,976298130,I Stand Alone (Seul contre tous) (1998),Drama,1,2,4,112
145,180,4,964489599,Blood Simple (1984),Drama|Film-Noir,1,3,16,39
150,8,3,963602574,Clockers (1995),Drama,1,6,7,70
190,22,3,956999469,"Firm, The (1993)",Drama|Thriller,1,1,5,175
90,72,5,973310827,Young Frankenstein (1974),Comedy|Horror,1,3,10,80
71,3,5,974697744,Dead Man Walking (1995),Drama,1,6,12,163
174,167,3,960481000,"Way We Were, The (1973)",Drama,1,2,10,99
79,51,4,974613044,Beautiful Thing (1996),Drama|Romance,1,5,11,125
133,35,5,965691680,"Silence of the Lambs, The (1991)",Drama|Thriller,1,2,0,127
173,50,3,960502974,That Thing You Do! (1996),Comedy,1,1,11,134
73,100,4,974677761,On the Waterfront (1954),Crime|Drama,0,6,12,9
88,110,3,973840056,Something Wicked This Way Comes (1983),Children's|Horror,1,1,4,152
98,60,5,971319983,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,1,3,11,171
177,94,5,959713840,"Man in the Iron Mask, The (1998)",Action|Drama|Romance,0,2,16,2
178,170,2,959833154,Mission to Mars (2000),Sci-Fi,0,2,6,8
82,148,3,974599097,Lulu on the Bridge (1998),Drama|Mystery|Romance,0,4,1,105
81,46,3,974607067,Roman Holiday (1953),Comedy|Romance,1,4,6,4
26,0,2,975264028,Waiting to Exhale (1995),Comedy|Drama,1,1,13,117
158,18,4,962651180,True Lies (1994),Action|Adventure|Comedy|Romance,1,3,16,129
6,52,5,978471241,Sleeper (1973),Comedy|Sci-Fi,1,5,14,95
29,81,2,975220259,Young Guns II (1990),Action|Comedy|Western,1,2,0,21
19,38,3,982881364,Barb Wire (1996),Action|Sci-Fi,1,1,4,180
24,156,5,975273310,Chushingura (1962),Drama,1,5,1,45
112,134,3,967419652,"King and I, The (1956)",Musical,1,3,1,43
37,126,4,1011716691,Shakespeare in Love (1998),Comedy|Romance,0,1,19,85
136,166,5,965319143,"Girl, Interrupted (1999)",Drama,0,2,0,42
147,123,5,963976808,Runaway Train (1985),Action|Adventure|Drama|Thriller,0,5,6,81
191,109,4,956716684,101 Dalmatians (1961),Animation|Children's,0,2,14,62
12,6,4,976203603,"Bridges of Madison County, The (1995)",Drama|Romance,0,2,13,99
94,126,5,972571456,Shakespeare in Love (1998),Comedy|Romance,1,1,0,88
9,25,4,976284972,"Hudsucker Proxy, The (1994)",Comedy|Romance,1,2,11,96
95,37,3,982805796,Alphaville (1965),Sci-Fi,1,5,11,177
84,85,4,974413811,Evita (1996),Drama|Musical,0,0,9,82
92,154,3,973198964,Peter's Friends (1992),Comedy|Drama,0,5,19,54
121,105,5,966657892,Lethal Weapon (1987),Action|Comedy|Crime|Drama,0,1,14,7
142,149,5,965171739,Ferris Bueller's Day Off (1986),Comedy,1,2,0,73
135,164,4,965321085,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,0,2,14,126
93,23,2,972662398,"Fugitive, The (1993)",Action|Thriller,0,3,0,10
58,36,5,976441106,Pretty Woman (1990),Comedy|Romance,1,1,4,0
43,24,2,975979732,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,0,2,7,40
63,77,4,974878241,April Fool's Day (1986),Comedy|Horror,1,2,18,29
169,59,2,961476022,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,1,1,9,110
108,29,2,976673070,Robin Hood: Men in Tights (1993),Comedy,0,1,4,130
16,42,1,975799925,High School High (1996),Comedy,1,1,4,149
106,182,2,979767184,"Running Man, The (1987)",Action|Adventure|Sci-Fi,1,2,19,5
160,111,3,962609782,Splash (1984),Comedy|Fantasy|Romance,1,5,13,98
21,112,3,975430389,Indiana Jones and the Temple of Doom (1984),Action|Adventure,1,1,18,55
46,176,3,974840560,Screwed (2000),Comedy,1,2,11,48
184,9,3,958192148,Strange Days (1995),Action|Crime|Sci-Fi,1,2,2,115
129,78,4,966434517,"Body Snatcher, The (1945)",Horror,1,5,6,30
163,141,5,962488280,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,1,4,1,34
99,146,1,972769867,Problem Child 2 (1991),Comedy,1,1,0,108
144,116,4,964883648,Rosemary's Baby (1968),Horror|Thriller,1,2,4,79
57,79,3,1009256707,Albino Alligator (1996),Crime|Thriller,0,5,6,60
41,123,2,974837844,Runaway Train (1985),Action|Adventure|Drama|Thriller,1,2,18,156
20,20,3,975460449,Cliffhanger (1993),Action|Adventure|Crime,1,0,9,72
42,118,3,974778494,My Bodyguard (1980),Drama,0,2,13,66
77,91,5,974759084,As Good As It Gets (1997),Comedy|Drama,0,1,4,31
76,49,3,974658834,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,1,5,15,15
153,151,4,963332896,Creepshow (1982),Horror,1,2,13,52
